,,,SUMMARY,,,,,
,,,,,,,,
,Total Books,,Total Revenue,,Average Rating,,,
,72818,," 4,56,63,945.90 ",,4.46,,,
,,,,,,,,
,,,,,,,,
Name,Author,Narrator,Time_in_min,ReleaseDate,Language,Stars,Ratings_Count,Price
The Dark Secret,TuiT.Sutherland,ShannonMcManus,455,01-07-2016,English,5,9,575
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,804,02-05-2017,English,5,4,"1,256.00"
Keys to the Demon Prison,BrandonMull,E.B.Stevens,1057,01-08-2013,English,5,8,516
Legacy,ShannonMessenger,CaitlinKelly,1375,05-11-2019,English,5,,"1,170.00"
The Endermen Invasion,WinterMorgan,LukeDaniels,122,26-05-2015,English,5,14,233
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,DavPilkey,"LenForgione,AshtonSundholm,JadenRogers",130,02-11-2021,English,5,5,445
You Only Die Twice,DanGutman,MichaelGoldstrom,349,17-09-2013,English,5,,585
From Texas with Love,DanGutman,MichaelGoldstrom,327,28-01-2014,English,5,5,702
Across the Desert,DustiBowling,StacyGonzalez,373,29-03-2022,English,No Rating,6,703
Unicorn Academy: Aisha and Silver,JulieSykes,KristinAtherton,94,10-03-2022,English,No Rating,,266
The Dragonet Prophecy,TuiT.Sutherland,ShannonMcManus,512,01-07-2012,English,5,,820
Dangerous Gift,TuiT.Sutherland,ShannonMcManus,471,02-03-2021,English,5,,445
"The 39 Clues, Book 6",JudeWatson,DavidPittu,310,06-11-2009,English,5,11,468
Never Say Genius,DanGutman,MichaelGoldstrom,327,23-08-2013,English,5,9,585
The Madman of Black Bear Mountain,FranklinW.Dixon,TimGregory,174,07-06-2016,English,5,4,305
Unicorn Academy: Zara and Moonbeam,JulieSykes,KristinAtherton,95,10-03-2022,English,No Rating,8,266
El fantasma de la bodega,FranciscoDíazValladares,NuriaSamsó,143,04-04-2022,spanish,No Rating,3,192
Wigetta,"Vegetta777,Willyrex",�lexdePorrata,217,05-04-2022,spanish,No Rating,,192
Aru Shah and the Nectar of Immortality,RoshaniChokshi,SoneelaNankani,679,05-04-2022,English,No Rating,,821
Barnabas der Wolkenschaufler,"SophieSchoenwald,NadineReitz-Illustrator",BerndReheuser,176,04-04-2022,german,No Rating,,200
The Boy in the Post,HollyRivers,SusieTrayling,418,01-04-2022,English,No Rating,,706
Thornwood,LeahCypess,JessicaAlmasy,341,05-04-2022,English,No Rating,,904
Curse of the Robo-Dragon,AdamBlade,TheoSolomon,126,01-04-2022,English,No Rating,,531
Call of the Crow,JessicaKhoury,"MichaelGallagher,EmilyEiden",570,05-04-2022,English,No Rating,,586
Glass Slippers,LeahCypess,KeylorLeigh,338,05-04-2022,English,No Rating,,904
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",97,05-04-2022,English,No Rating,,586
